"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","test_part","stim","index","subjectKey","src_subject_id","site","interview_date","session","sex","sample_group","interview_age","response"
"2022.7049998939037","<p style=""color:white;"">Welcome to the experiment!</p><p style=""color:white;"">Press any key to continue.</p>","32","html-keyboard-response","0","2027","0.0-0.0","","","","","","","","","","","",""
"471.41500003635883","<p style=""color:white;"">In this task you will listen to a series of audio clips.</p><p style=""color:white;"">The task is split into two test blocks, with a listening block in-between.</p><p style=""color:white;"">In the test blocks you will listen to a series of audio clips, and will have to indicate whether you heard speech in each clip.</p><p style=""color:white;"">In the listening block you just have to listen to several audio recordings. No response is required.</p><p style=""color:white;"">Press any key to continue to the study.</p>","32","html-keyboard-response","1","2500","0.0-1.0-0.0","","","","","","","","","","","",""
"339.1350000165403","<p style=""color:white;"">We will now begin the first test block .</p> <p style=""color:white;"">Press any key to begin.</p>","32","html-keyboard-response","2","2840","0.0-1.0-1.0","","","","","","","","","","","",""
"null","<p id=""counter"" style=""text-align:center; color:white; font-size:30px"">+</p>","null","html-keyboard-response","3","3845","0.0-2.0-0.0","","","","","","","","","","","",""
"null","sounds/unintel_45/U_BKBQ0412.WAV","null","audio-keyboard-response","4","5556","0.0-2.0-1.0","unintel","412.wav","1","","","","","","","","",""
"2622.094999998808","<p style=""color:white;"">Could you hear a complete sentence in the audio?</p><p style=""color:white;"">Press ""1"" for YES</p><p style=""color:white;"">Press ""0"" for NO</p>","49","html-keyboard-response","5","8180","0.0-2.0-2.0","","","","GUID","202321","20","must be formatted exactly thusly: MM/DD/YYYY","??","??","?? maybe 1=Clinical; 2=Healthy control","integer number of months","1"
"null","<p style=""color:white;"">You will now hear some short sentences.</p><p style=""color:white;"">You do not need to respond, just listen.</p>","null","html-keyboard-response","6","18186","0.0-3.0","","","","","","","","","","","",""
"null","sounds/unaltered_45/BKBQ1706.WAV","null","audio-keyboard-response","7","19453","0.0-4.0-0.0","unaltered","1706.wav","2","","","","","","","","",""
"null","<p id=""counter"" style=""text-align:center; color:white; font-size:30px"">+</p>","null","html-keyboard-response","8","19956","0.0-4.0-1.0","","","","","","","","","","","",""
"null","<p style=""color:white;"">We will now begin the second test block.</p>","null","html-keyboard-response","9","29960","0.0-5.0","","","","","","","","","","","",""
"null","<p id=""counter"" style=""text-align:center; color:white; font-size:30px"">+</p>","null","html-keyboard-response","10","30965","0.0-6.0-0.0","","","","","","","","","","","",""
"null","sounds/intel_45/I_BKBQ0603.wav","null","audio-keyboard-response","11","32997","0.0-6.0-1.0","intel","603.wav","3","","","","","","","","",""
"664.3799999728799","<p style=""color:white;"">Could you hear a complete sentence in the audio?</p><p style=""color:white;"">Press ""1"" for YES</p><p style=""color:white;"">Press ""0"" for NO</p>","49","html-keyboard-response","12","33662","0.0-6.0-2.0","","","","GUID","202321","20","must be formatted exactly thusly: MM/DD/YYYY","??","??","?? maybe 1=Clinical; 2=Healthy control","integer number of months","1"
"null","<p id=""counter"" style=""text-align:center; color:white; font-size:30px"">This is the end of the experiment.</p>","null","html-keyboard-response","13","34166","0.0-7.0-0.0","","","","","","","","","","","",""
