"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","test_part","response"
"360.2299999911338","<p style=""color:white;"">Welcome to the experiment!</p><p style=""color:white;"">Press any key to continue.</p>","32","html-keyboard-response","0","364","0.0-0.0","",""
"172.8550000116229","<p style=""color:white;"">In this task you will listen to a series of audio clips.</p><p style=""color:white;"">The task is split into two test blocks, with a listening block in-between.</p><p style=""color:white;"">In the test blocks you will listen to a series of audio clips, and will have to indicate whether you heard speech in each clip.</p><p style=""color:white;"">In the listening block you just have to listen to several audio recordings. No response is required.</p><p style=""color:white;"">Press any key to continue to the study.</p>","32","html-keyboard-response","1","538","0.0-1.0-0.0","",""
"167.08999988622963","<p style=""color:white;"">We will now begin the first test block .</p> <p style=""color:white;"">Press any key to begin.</p>","32","html-keyboard-response","2","706","0.0-1.0-1.0","",""
"null","<p id=""counter"" style=""text-align:center; color:white; font-size:30px"">+</p>","null","html-keyboard-response","3","1708","0.0-2.0-0.0","",""
"null","sounds/intel_45/I_BKBQ0110.wav","null","audio-keyboard-response","4","3320","0.0-2.0-1.0","",""
"4171.945000067353","<p style=""color:white;"">Could you hear a complete sentence in the audio?</p><p style=""color:white;"">Press ""1"" for YES</p><p style=""color:white;"">Press ""0"" for NO</p>","49","html-keyboard-response","5","7494","0.0-2.0-2.0","intel","1"
"null","<p style=""color:white;"">You will now hear some short sentences.</p><p style=""color:white;"">You do not need to respond, just listen.</p>","null","html-keyboard-response","6","17498","0.0-3.0","",""
"null","sounds/unaltered_45/BKBQ2001.WAV","null","audio-keyboard-response","7","18924","0.0-4.0-0.0","unaltered",""
"null","<p id=""counter"" style=""text-align:center; color:white; font-size:30px"">+</p>","null","html-keyboard-response","8","19429","0.0-4.0-1.0","",""
"null","<p style=""color:white;"">We will now begin the second test block.</p>","null","html-keyboard-response","9","29436","0.0-5.0","",""
"null","<p id=""counter"" style=""text-align:center; color:white; font-size:30px"">+</p>","null","html-keyboard-response","10","30439","0.0-6.0-0.0","",""
"null","sounds/unintel_45/U_BKBQ0308.WAV","null","audio-keyboard-response","11","31997","0.0-6.0-1.0","",""
"271.63000009022653","<p style=""color:white;"">Could you hear a complete sentence in the audio?</p><p style=""color:white;"">Press ""1"" for YES</p><p style=""color:white;"">Press ""0"" for NO</p>","49","html-keyboard-response","12","32270","0.0-6.0-2.0","unintel","1"
"null","<p id=""counter"" style=""text-align:center; color:white; font-size:30px"">This is the end of the experiment.</p>","null","html-keyboard-response","13","32774","0.0-7.0-0.0","",""
