"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","response"
"294.1850000061095","<p style=""color:white;"">Welcome to the experiment!</p><p style=""color:white;"">Press any key to continue.</p>","32","html-keyboard-response","0","298","0.0-0.0",""
"177.29999986477196","<p style=""color:white;"">In this task you will listen to a series of audio clips.</p><p style=""color:white;"">The task is split into two test blocks, with a listening block in-between.</p><p style=""color:white;"">In the test blocks you will listen to a series of audio clips, and will have to indicate whether you heard speech in each clip.</p><p style=""color:white;"">In the listening block you just have to listen to several audio recordings. No response is required.</p><p style=""color:white;"">Press any key to continue to the study.</p>","32","html-keyboard-response","1","477","0.0-1.0-0.0",""
"236.47000011987984","<p style=""color:white;"">We will now begin the first test block .</p> <p style=""color:white;"">Press any key to begin.</p>","32","html-keyboard-response","2","714","0.0-1.0-1.0",""
"null","<p id=""counter"" style=""text-align:center; color:white; font-size:30px"">+</p>","null","html-keyboard-response","3","1719","0.0-2.0-0.0",""
"null","sounds/unintel_45/U_BKBQ0206.WAV","null","audio-keyboard-response","4","3394","0.0-2.0-1.0",""
"230.54499994032085","<p style=""color:white;"">Could you hear a complete sentence in the audio?</p><p style=""color:white;"">Press ""1"" for YES</p><p style=""color:white;"">Press ""0"" for NO</p>","49","html-keyboard-response","5","3625","0.0-2.0-2.0","1"
"null","<p style=""color:white;"">You will now hear some short sentences.</p><p style=""color:white;"">You do not need to respond, just listen.</p>","null","html-keyboard-response","6","13630","0.0-3.0",""
"null","sounds/unaltered_45/BKBQ0511.WAV","null","audio-keyboard-response","7","15091","0.0-4.0-0.0",""
"null","<p id=""counter"" style=""text-align:center; color:white; font-size:30px"">+</p>","null","html-keyboard-response","8","15596","0.0-4.0-1.0",""
"null","<p style=""color:white;"">We will now begin the second test block.</p>","null","html-keyboard-response","9","25600","0.0-5.0",""
"null","<p id=""counter"" style=""text-align:center; color:white; font-size:30px"">+</p>","null","html-keyboard-response","10","26603","0.0-6.0-0.0",""
"null","sounds/intel_45/I_BKBQ0206.wav","null","audio-keyboard-response","11","28774","0.0-6.0-1.0",""
"1393.3950001373887","<p style=""color:white;"">Could you hear a complete sentence in the audio?</p><p style=""color:white;"">Press ""1"" for YES</p><p style=""color:white;"">Press ""0"" for NO</p>","49","html-keyboard-response","12","30168","0.0-6.0-2.0","1"
"null","<p id=""counter"" style=""text-align:center; color:white; font-size:30px"">This is the end of the experiment.</p>","null","html-keyboard-response","13","30670","0.0-7.0-0.0",""
