"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","index","test_part","stim","subjectKey","src_subject_id","site","interview_date","session","sex","sample_group","interview_age","response"
"334.3250001780689","<p style=""color:white;"">Welcome to the experiment!</p><p style=""color:white;"">Press any key to continue.</p>","32","html-keyboard-response","0","338","0.0-0.0","","","","","","","","","","","",""
"160.98000016063452","<p style=""color:white;"">In this task you will listen to a series of audio clips.</p><p style=""color:white;"">The task is split into two test blocks, with a listening block in-between.</p><p style=""color:white;"">In the test blocks you will listen to a series of audio clips, and will have to indicate whether you heard speech in each clip.</p><p style=""color:white;"">In the listening block you just have to listen to several audio recordings. No response is required.</p><p style=""color:white;"">Press any key to continue to the study.</p>","32","html-keyboard-response","1","501","0.0-1.0-0.0","","","","","","","","","","","",""
"116.26500030979514","<p style=""color:white;"">We will now begin the first test block .</p> <p style=""color:white;"">Press any key to begin.</p>","32","html-keyboard-response","2","618","0.0-1.0-1.0","","","","","","","","","","","",""
"null","<p id=""counter"" style=""text-align:center; color:white; font-size:30px"">+</p>","null","html-keyboard-response","3","1624","0.0-2.0-0.0","","","","","","","","","","","",""
"null","sounds/intel_45/I_BKBQ0309.wav","null","audio-keyboard-response","4","3723","0.0-2.0-1.0","1","","","","","","","","","","",""
"331.17999974638224","<p style=""color:white;"">Could you hear a complete sentence in the audio?</p><p style=""color:white;"">Press ""1"" for YES</p><p style=""color:white;"">Press ""0"" for NO</p>","49","html-keyboard-response","5","4055","0.0-2.0-2.0","","intel","309.wav","GUID","3012321","30","must be formatted exactly thusly: MM/DD/YYYY","??","??","?? maybe 1=Clinical; 2=Healthy control","integer number of months","1"
"null","<p style=""color:white;"">You will now hear some short sentences.</p><p style=""color:white;"">You do not need to respond, just listen.</p>","null","html-keyboard-response","6","14061","0.0-3.0","","","","","","","","","","","",""
"null","sounds/unaltered_45/BKBQ0114.WAV","null","audio-keyboard-response","7","15553","0.0-4.0-0.0","2","","","","","","","","","","",""
"null","<p id=""counter"" style=""text-align:center; color:white; font-size:30px"">+</p>","null","html-keyboard-response","8","16057","0.0-4.0-1.0","","","","","","","","","","","",""
"null","<p style=""color:white;"">We will now begin the second test block.</p>","null","html-keyboard-response","9","26062","0.0-5.0","","","","","","","","","","","",""
"null","<p id=""counter"" style=""text-align:center; color:white; font-size:30px"">+</p>","null","html-keyboard-response","10","27066","0.0-6.0-0.0","","","","","","","","","","","",""
"null","sounds/intel_45/I_BKBQ0411.wav","null","audio-keyboard-response","11","28958","0.0-6.0-1.0","3","","","","","","","","","","",""
"115590.18500009552","<p style=""color:white;"">Could you hear a complete sentence in the audio?</p><p style=""color:white;"">Press ""1"" for YES</p><p style=""color:white;"">Press ""0"" for NO</p>","49","html-keyboard-response","12","144552","0.0-6.0-2.0","","intel","411.wav","GUID","3012321","30","must be formatted exactly thusly: MM/DD/YYYY","??","??","?? maybe 1=Clinical; 2=Healthy control","integer number of months","1"
"null","<p id=""counter"" style=""text-align:center; color:white; font-size:30px"">This is the end of the experiment.</p>","null","html-keyboard-response","13","145057","0.0-7.0-0.0","","","","","","","","","","","",""
