"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","test_part","subjectKey","src_subject_id","site","interview_date","session","sex","sample_group","interview_age","response"
"14253.379999980098","<p style=""color:white;"">Welcome to the experiment!</p><p style=""color:white;"">Press any key to continue.</p>","32","html-keyboard-response","0","14256","0.0-0.0","","","","","","","","","",""
"6278.404999990016","<p style=""color:white;"">In this task you will listen to a series of audio clips.</p><p style=""color:white;"">The task is split into two test blocks, with a listening block in-between.</p><p style=""color:white;"">In the test blocks you will listen to a series of audio clips, and will have to indicate whether you heard speech in each clip.</p><p style=""color:white;"">In the listening block you just have to listen to several audio recordings. No response is required.</p><p style=""color:white;"">Press any key to continue to the study.</p>","32","html-keyboard-response","1","20535","0.0-1.0-0.0","","","","","","","","","",""
"1799.4049999979325","<p style=""color:white;"">We will now begin the first test block .</p> <p style=""color:white;"">Press any key to begin.</p>","32","html-keyboard-response","2","22335","0.0-1.0-1.0","","","","","","","","","",""
"null","<p id=""counter"" style=""text-align:center; color:white; font-size:30px"">+</p>","null","html-keyboard-response","3","23337","0.0-2.0-0.0","","","","","","","","","",""
"null","sounds/unintel_45/U_BKBQ0115.WAV","null","audio-keyboard-response","4","25045","0.0-2.0-1.0","","","","","","","","","",""
"233.5849999799393","<p style=""color:white;"">Could you hear a complete sentence in the audio?</p><p style=""color:white;"">Press ""1"" for YES</p><p style=""color:white;"">Press ""0"" for NO</p>","49","html-keyboard-response","5","25279","0.0-2.0-2.0","unintel","GUID","309997","30","must be formatted exactly thusly: MM/DD/YYYY","??","??","?? maybe 1=Clinical; 2=Healthy control","integer number of months","1"
"null","<p style=""color:white;"">You will now hear some short sentences.</p><p style=""color:white;"">You do not need to respond, just listen.</p>","null","html-keyboard-response","6","35281","0.0-3.0","","","","","","","","","",""
"null","sounds/unaltered_45/BKBQ2109.WAV","null","audio-keyboard-response","7","37015","0.0-4.0-0.0","unaltered","","","","","","","","",""
"null","<p id=""counter"" style=""text-align:center; color:white; font-size:30px"">+</p>","null","html-keyboard-response","8","37517","0.0-4.0-1.0","","","","","","","","","",""
"null","<p style=""color:white;"">We will now begin the second test block.</p>","null","html-keyboard-response","9","47519","0.0-5.0","","","","","","","","","",""
"null","<p id=""counter"" style=""text-align:center; color:white; font-size:30px"">+</p>","null","html-keyboard-response","10","48520","0.0-6.0-0.0","","","","","","","","","",""
"null","sounds/intel_45/I_BKBQ0109.wav","null","audio-keyboard-response","11","50555","0.0-6.0-1.0","","","","","","","","","",""
"611.7599999997765","<p style=""color:white;"">Could you hear a complete sentence in the audio?</p><p style=""color:white;"">Press ""1"" for YES</p><p style=""color:white;"">Press ""0"" for NO</p>","49","html-keyboard-response","12","51167","0.0-6.0-2.0","intel","GUID","309997","30","must be formatted exactly thusly: MM/DD/YYYY","??","??","?? maybe 1=Clinical; 2=Healthy control","integer number of months","1"
"null","<p id=""counter"" style=""text-align:center; color:white; font-size:30px"">This is the end of the experiment.</p>","null","html-keyboard-response","13","51668","0.0-7.0-0.0","","","","","","","","","",""
