"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id"
"1870.6750001292676","<p style=""color:white;"">Welcome to the experiment!</p><p style=""color:white;"">Press any key to continue.</p>","32","html-keyboard-response","0","1876","0.0-0.0"
"114446.9800000079","<p style=""color:white;"">In this task you will listen to a series of audio clips.</p><p style=""color:white;"">The task is split into two test blocks, with a listening block in-between.</p><p style=""color:white;"">In the test blocks you will listen to a series of audio clips, and will have to indicate whether you heard speech in each clip.</p><p style=""color:white;"">In the listening block you just have to listen to several audio recordings. No response is required.</p><p style=""color:white;"">Press any key to continue to the study.</p>","32","html-keyboard-response","1","116324","0.0-1.0-0.0"
"3845.424999948591","<p style=""color:white;"">We will now begin the first test block .</p> <p style=""color:white;"">Press any key to begin.</p>","32","html-keyboard-response","2","120171","0.0-1.0-1.0"
"null","<p id=""counter"" style=""text-align:center; color:white; font-size:30px"">+</p>","null","html-keyboard-response","3","121175","0.0-2.0-0.0"
"null","sounds/unintel_45/U_BKBQ0114.WAV","null","audio-keyboard-response","4","122817","0.0-2.0-1.0"
"8807.555000064895","<p style=""color:white;"">Could you hear speech in the audio?</p><p style=""color:white;"">Press ""1"" for YES</p><p style=""color:white;"">Press ""0"" for NO</p>","49","html-keyboard-response","5","131627","0.0-2.0-2.0"
"null","<p id=""counter"" style=""text-align:center; color:white; font-size:30px"">+</p>","null","html-keyboard-response","6","132630","0.0-2.0-0.1"
"null","sounds/intel_45/I_BKBQ0110.wav","null","audio-keyboard-response","7","134237","0.0-2.0-1.1"
"2108.879999956116","<p style=""color:white;"">Could you hear speech in the audio?</p><p style=""color:white;"">Press ""1"" for YES</p><p style=""color:white;"">Press ""0"" for NO</p>","49","html-keyboard-response","8","136347","0.0-2.0-2.1"
"null","<p id=""counter"" style=""text-align:center; color:white; font-size:30px"">+</p>","null","html-keyboard-response","9","137349","0.0-2.0-0.2"
"null","sounds/intel_45/I_BKBQ0413.wav","null","audio-keyboard-response","10","139727","0.0-2.0-1.2"
"2114.595000166446","<p style=""color:white;"">Could you hear speech in the audio?</p><p style=""color:white;"">Press ""1"" for YES</p><p style=""color:white;"">Press ""0"" for NO</p>","49","html-keyboard-response","11","141842","0.0-2.0-2.2"
"null","<p id=""counter"" style=""text-align:center; color:white; font-size:30px"">+</p>","null","html-keyboard-response","12","142844","0.0-2.0-0.3"
"null","sounds/intel_45/I_BKBQ0513.wav","null","audio-keyboard-response","13","144526","0.0-2.0-1.3"
"858.5449999663979","<p style=""color:white;"">Could you hear speech in the audio?</p><p style=""color:white;"">Press ""1"" for YES</p><p style=""color:white;"">Press ""0"" for NO</p>","49","html-keyboard-response","14","145385","0.0-2.0-2.3"
"null","<p id=""counter"" style=""text-align:center; color:white; font-size:30px"">+</p>","null","html-keyboard-response","15","146387","0.0-2.0-0.4"
"null","sounds/intel_45/I_BKBQ0412.wav","null","audio-keyboard-response","16","148277","0.0-2.0-1.4"
"963.2449999917299","<p style=""color:white;"">Could you hear speech in the audio?</p><p style=""color:white;"">Press ""1"" for YES</p><p style=""color:white;"">Press ""0"" for NO</p>","49","html-keyboard-response","17","149242","0.0-2.0-2.4"
"null","<p id=""counter"" style=""text-align:center; color:white; font-size:30px"">+</p>","null","html-keyboard-response","18","150244","0.0-2.0-0.5"
"null","sounds/intel_45/I_BKBQ0309.wav","null","audio-keyboard-response","19","152347","0.0-2.0-1.5"
"2653.099999995902","<p style=""color:white;"">Could you hear speech in the audio?</p><p style=""color:white;"">Press ""1"" for YES</p><p style=""color:white;"">Press ""0"" for NO</p>","49","html-keyboard-response","20","155001","0.0-2.0-2.5"
"null","<p id=""counter"" style=""text-align:center; color:white; font-size:30px"">+</p>","null","html-keyboard-response","21","156002","0.0-2.0-0.6"
"null","sounds/intel_45/I_BKBQ0114.wav","null","audio-keyboard-response","22","158035","0.0-2.0-1.6"
"446.2699999567121","<p style=""color:white;"">Could you hear speech in the audio?</p><p style=""color:white;"">Press ""1"" for YES</p><p style=""color:white;"">Press ""0"" for NO</p>","48","html-keyboard-response","23","158482","0.0-2.0-2.6"
"null","<p id=""counter"" style=""text-align:center; color:white; font-size:30px"">+</p>","null","html-keyboard-response","24","159485","0.0-2.0-0.7"
"null","sounds/intel_45/I_BKBQ0304.wav","null","audio-keyboard-response","25","161526","0.0-2.0-1.7"
"316.4450000040233","<p style=""color:white;"">Could you hear speech in the audio?</p><p style=""color:white;"">Press ""1"" for YES</p><p style=""color:white;"">Press ""0"" for NO</p>","49","html-keyboard-response","26","161843","0.0-2.0-2.7"
"null","<p id=""counter"" style=""text-align:center; color:white; font-size:30px"">+</p>","null","html-keyboard-response","27","162846","0.0-2.0-0.8"
"null","sounds/unintel_45/U_BKBQ0109.WAV","null","audio-keyboard-response","28","164646","0.0-2.0-1.8"
"892.035000026226","<p style=""color:white;"">Could you hear speech in the audio?</p><p style=""color:white;"">Press ""1"" for YES</p><p style=""color:white;"">Press ""0"" for NO</p>","48","html-keyboard-response","29","165539","0.0-2.0-2.8"
"null","<p id=""counter"" style=""text-align:center; color:white; font-size:30px"">+</p>","null","html-keyboard-response","30","166540","0.0-2.0-0.9"
