ElementName,DataType,Size,Required,ElementDescription,ValueRange,Notes,Aliases
subjectkey,GUID,,Required,The NDAR Global Unique Identifier (GUID) for research subject,NDAR*,,nimhid
src_subject_id,String,20,Required,Subject ID how it's defined in lab/project,,,"ptid,subject"
interview_date,Date,,Required,Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY,,Required field,"sessiondate,studyday"
interview_age,Integer,,Required,Age in months at the time of the interview/test/sampling/imaging.,0 :: 1260,"Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",age
sex,String,20,Required,Sex of the subject,M;F; O; NR,M = Male; F = Female; O=Other; NR = Not reported,"gender,sex"
stim,String,,Recommended,Stimulus ID based on audio file name,,,
trial,Integer,,Recommended,Identifies the position of the stimulus within the task,0 :: 455,,
test_part,String,,Recommended,Identifies the task condition,intel; unintel,"For ""intel"" trials participants hear masked speech patterns; in ""unintel"" trials, participants hear audio with no speech patterns present; in ""unaltered"" trials, participants listen to unmodified speech",
rt,Integer,,Recommended,Reflects time elapsed since response options emerge,,,
key_press,Float,,Recommended,The ascii keyboard key pressed for each response,48;49,48 = 0 key; 49 = 1 key;,
time_elapsed,integer,,Recommended,Total time passed,,useful for determining runtime as well as whether subject idles during task,
response_speech,Integer,,Recommended,Indicates if subject identified a face or not,0; 1,"0 = ""no"" (speech is not present) and 1 = ""yes"" (speech is present)",
